,Geographic area,Indicator,Sex,Education Level,Wealth Quintile,Residence,Unit of measure,TIME_PERIOD,OBS_VALUE,DATA_SOURCE
0,Afghanistan,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2015.0,40.200001,DHS 2015
1,Afghanistan,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2015.0,67.199997,DHS 2015
2,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2015.0,44.5,DHS 2015
3,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2015.0,46.0,DHS 2015
4,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2015.0,42.599998,DHS 2015
5,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2015.0,60.0,DHS 2015
6,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2015.0,74.5,DHS 2015
7,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2015.0,47.799999,DHS 2015
8,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2015.0,70.800003,DHS 2015
9,Afghanistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2015.0,53.900002,DHS 2015
10,Angola,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,56.63134,DHS 2015-16
11,Angola,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,63.2789,DHS 2015-16
12,Angola,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,18.8034,DHS 2015-16
13,Angola,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,30.390791,DHS 2015-16
14,Angola,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,60.57188,DHS 2015-16
15,Angola,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,76.826424,DHS 2015-16
16,Angola,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,89.008347,DHS 2015-16
17,Angola,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,27.18701,DHS 2015-16
18,Angola,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,73.655067,DHS 2015-16
19,Angola,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,59.849659,DHS 2015-16
20,Albania,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2018.0,95.698372,DHS 2017-18
21,Albania,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2018.0,94.15596,DHS 2017-18
22,Albania,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2018.0,93.34053,DHS 2017-18
23,Albania,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2018.0,93.469879,DHS 2017-18
24,Albania,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2018.0,95.76741,DHS 2017-18
25,Albania,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2018.0,94.290802,DHS 2017-18
26,Albania,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2018.0,97.969856,DHS 2017-18
27,Albania,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2018.0,93.074661,DHS 2017-18
28,Albania,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2018.0,96.308372,DHS 2017-18
29,Albania,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2018.0,94.92128,DHS 2017-18
30,Argentina,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2020.0,98.040077,MICS 2019-20
31,Argentina,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2020.0,95.666924,MICS 2019-20
32,Argentina,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2020.0,96.384613,MICS 2019-20
33,Argentina,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2020.0,95.742508,MICS 2019-20
34,Argentina,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2020.0,98.018059,MICS 2019-20
35,Argentina,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2020.0,96.622757,MICS 2019-20
36,Argentina,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2020.0,98.018356,MICS 2019-20
37,Argentina,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2020.0,96.839119,MICS 2019-20
38,Armenia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,99.11264,DHS 2015-16
39,Armenia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,99.389252,DHS 2015-16
40,Armenia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,98.662193,DHS 2015-16
41,Armenia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,99.730026,DHS 2015-16
42,Armenia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,97.958351,DHS 2015-16
43,Armenia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,100.0,DHS 2015-16
44,Armenia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,100.0,DHS 2015-16
45,Armenia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,99.545982,DHS 2015-16
46,Armenia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,99.073601,DHS 2015-16
47,Armenia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,99.266441,DHS 2015-16
48,Burundi,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2017.0,54.099998,DHS 2016-17
49,Burundi,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2017.0,46.0,DHS 2016-17
50,Burundi,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2017.0,26.4,DHS 2016-17
51,Burundi,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2017.0,38.799999,DHS 2016-17
52,Burundi,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2017.0,53.799999,DHS 2016-17
53,Burundi,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2017.0,56.799999,DHS 2016-17
54,Burundi,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2017.0,64.400002,DHS 2016-17
55,Burundi,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2017.0,47.299999,DHS 2016-17
56,Burundi,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2017.0,69.900002,DHS 2016-17
57,Burundi,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2017.0,50.099998,DHS 2016-17
58,Benin,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2018.0,44.196468,DHS 2017-18
59,Benin,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2018.0,51.01598,DHS 2017-18
60,Benin,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2018.0,21.070881,DHS 2017-18
61,Benin,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2018.0,33.132561,DHS 2017-18
62,Benin,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2018.0,44.974689,DHS 2017-18
63,Benin,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2018.0,57.51981,DHS 2017-18
64,Benin,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2018.0,75.793213,DHS 2017-18
65,Benin,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2018.0,40.52256,DHS 2017-18
66,Benin,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2018.0,58.064789,DHS 2017-18
67,Benin,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2018.0,47.672329,DHS 2017-18
68,Bangladesh,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,89.099998,MICS 2019
69,Bangladesh,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,76.300003,MICS 2019
70,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,70.400002,MICS 2019
