,Country,Country_Code,GDP_PerCapita,Region,Income_Group,_merge
194,Aruba,ABW,29342.10086,Latin America & Caribbean,High income,right_only
195,Andorra,AND,42137.32727,Europe & Central Asia,High income,right_only
196,American Samoa,ASM,15743.31076,East Asia & Pacific,Upper middle income,right_only
197,"Bahamas, The",BHS,27478.38963,Latin America & Caribbean,High income,right_only
198,Bermuda,BMU,114090.3283,North America,High income,right_only
199,Channel Islands,CHI,,Europe & Central Asia,High income,right_only
200,Curacao,CUW,17717.59648,Latin America & Caribbean,High income,right_only
201,Cayman Islands,CYM,86568.76964,Latin America & Caribbean,High income,right_only
202,Faroe Islands,FRO,69010.3098,Europe & Central Asia,High income,right_only
203,Gibraltar,GIB,,Europe & Central Asia,High income,right_only
204,Greenland,GRL,,Europe & Central Asia,High income,right_only
205,Guam,GUM,35904.86355,East Asia & Pacific,High income,right_only
206,"Hong Kong SAR, China",HKG,49800.54241,East Asia & Pacific,High income,right_only
207,Isle of Man,IMN,,Europe & Central Asia,High income,right_only
208,Japan,JPN,39312.66037,East Asia & Pacific,High income,right_only
209,Lebanon,LBN,4136.146347,Middle East & North Africa,Lower middle income,right_only
210,Libya,LBY,6357.19555,Middle East & North Africa,Upper middle income,right_only
211,"Macao SAR, China",MAC,43873.59116,East Asia & Pacific,High income,right_only
212,St. Martin (French part),MAF,,Latin America & Caribbean,High income,right_only
213,Monaco,MCO,234315.4605,Europe & Central Asia,High income,right_only
214,Northern Mariana Islands,MNP,,East Asia & Pacific,High income,right_only
215,New Caledonia,NCL,37159.54677,East Asia & Pacific,High income,right_only
216,Nicaragua,NIC,2045.535402,Latin America & Caribbean,Lower middle income,right_only
217,Puerto Rico,PRI,32640.71034,Latin America & Caribbean,High income,right_only
218,French Polynesia,PYF,19914.60351,East Asia & Pacific,High income,right_only
219,Somalia,SOM,446.9815596,Sub-Saharan Africa,Low income,right_only
220,Sint Maarten (Dutch part),SXM,,Latin America & Caribbean,High income,right_only
221,Syrian Arab Republic,SYR,,Middle East & North Africa,Low income,right_only
222,Virgin Islands (U.S.),VIR,,Latin America & Caribbean,High income,right_only
