Geographic area,Indicator,Sex,Education Level,Wealth Quintile,Residence,Unit of measure,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,Observation Status,DATA_SOURCE,Observation confidentaility,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,Time interval at which the source data are collected
Afghanistan,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2015,40.200001,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2015,67.199997,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2015,44.5,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2015,46,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2015,42.599998,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2015,60,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2015,74.5,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2015,47.799999,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2015,70.800003,,DHS 2015,,,,,Not Known
Afghanistan,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2015,53.900002,,DHS 2015,,,,,Not Known
Angola,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,56.63134,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,63.2789,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2016,18.8034,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2016,30.390791,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2016,60.57188,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2016,76.826424,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2016,89.008347,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,27.18701,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,73.655067,,DHS 2015-16,,,,,Not Known
Angola,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,59.849659,,DHS 2015-16,,,,,Not Known
Albania,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,95.698372,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,94.15596,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,93.34053,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,93.469879,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,95.76741,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,94.290802,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,97.969856,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,93.074661,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,96.308372,,DHS 2017-18,,,,,Not Known
Albania,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,94.92128,,DHS 2017-18,,,,,Not Known
Argentina,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2020,98.040077,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2020,95.666924,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2020,96.384613,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2020,95.742508,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2020,98.018059,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2020,96.622757,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2020,98.018356,,MICS 2019-20,,,,,
Argentina,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2020,96.839119,,MICS 2019-20,,,,,
