Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Completion rate for youth of upper secondary education school age,Female,2015,14.36536,,%,,,,,,,,DHS 2015,,,,,,Total
Afghanistan,Completion rate for youth of upper secondary education school age,Male,2015,32.315559,,%,,,,,,,,DHS 2015,,,,,,Total
Afghanistan,Completion rate for youth of upper secondary education school age,Total,2015,22.89534,,%,,,,,,,,DHS 2015,,,,,,Total
Albania,Completion rate for youth of upper secondary education school age,Female,2018,79.857063,,%,,,,,,,,DHS 2017-18,,,,,,Total
Albania,Completion rate for youth of upper secondary education school age,Male,2018,76.226807,,%,,,,,,,,DHS 2017-18,,,,,,Total
Albania,Completion rate for youth of upper secondary education school age,Total,2018,77.94796,,%,,,,,,,,DHS 2017-18,,,,,,Total
Algeria,Completion rate for youth of upper secondary education school age,Female,2020,59.164452,,%,,,,,,,,MICS 2019,,,,,,Total
Algeria,Completion rate for youth of upper secondary education school age,Male,2020,34.630589,,%,,,,,,,,MICS 2019,,,,,,Total
Algeria,Completion rate for youth of upper secondary education school age,Total,2020,46.431679,,%,,,,,,,,MICS 2019,,,,,,Total
Angola,Completion rate for youth of upper secondary education school age,Female,2016,15.21019,,%,,,,,,,,DHS 2015-16,,,,,,Total
Angola,Completion rate for youth of upper secondary education school age,Male,2016,23.698139,,%,,,,,,,,DHS 2015-16,,,,,,Total
Angola,Completion rate for youth of upper secondary education school age,Total,2016,18.7439,,%,,,,,,,,DHS 2015-16,,,,,,Total
Argentina,Completion rate for youth of upper secondary education school age,Female,2020,65.963852,,%,,,,,,,,MICS 2019-20,,,,,,Total
Argentina,Completion rate for youth of upper secondary education school age,Male,2020,54.310711,,%,,,,,,,,MICS 2019-20,,,,,,Total
Argentina,Completion rate for youth of upper secondary education school age,Total,2020,60.195518,,%,,,,,,,,MICS 2019-20,,,,,,Total
Armenia,Completion rate for youth of upper secondary education school age,Female,2016,79.394547,,%,,,,,,,,DHS 2015-16,,,,,,Total
Armenia,Completion rate for youth of upper secondary education school age,Male,2016,68.794182,,%,,,,,,,,DHS 2015-16,,,,,,Total
Armenia,Completion rate for youth of upper secondary education school age,Total,2016,74.582832,,%,,,,,,,,DHS 2015-16,,,,,,Total
Bangladesh,Completion rate for youth of upper secondary education school age,Female,2019,27.299999,,%,,,,,,,,MICS 2019,,,,,,Total
Bangladesh,Completion rate for youth of upper secondary education school age,Male,2019,31.5,,%,,,,,,,,MICS 2019,,,,,,Total
Bangladesh,Completion rate for youth of upper secondary education school age,Total,2019,29.4,,%,,,,,,,,MICS 2019,,,,,,Total
Barbados,Completion rate for youth of upper secondary education school age,Female,2012,96.900002,,%,,,,,,,,MICS 2012,,,,,,Total
Barbados,Completion rate for youth of upper secondary education school age,Male,2012,91.199997,,%,,,,,,,,MICS 2012,,,,,,Total
Barbados,Completion rate for youth of upper secondary education school age,Total,2012,93.900002,,%,,,,,,,,MICS 2012,,,,,,Total
Belarus,Completion rate for youth of upper secondary education school age,Female,2020,98.489067,,%,,,,,,,,MICS 2019,,,,,,Total
Belarus,Completion rate for youth of upper secondary education school age,Male,2020,97.82029,,%,,,,,,,,MICS 2019,,,,,,Total
Belarus,Completion rate for youth of upper secondary education school age,Total,2020,98.108932,,%,,,,,,,,MICS 2019,,,,,,Total
Belize,Completion rate for youth of upper secondary education school age,Female,2016,50.700001,,%,,,,,,,,MICS 2015-16,,,,,,Total
Belize,Completion rate for youth of upper secondary education school age,Male,2016,47.5,,%,,,,,,,,MICS 2015-16,,,,,,Total
