Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Albania,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,1.30401,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,5.47868,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,3.54768,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,3.27628,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,1.77203,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,2.51633,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,1.2537,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,0.63537,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,0.93901,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,8.62643,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,10.78141,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,9.77754,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,2.15327,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,1.8969,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,2.02186,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,0.45182,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,1.12154,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,0.79665,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,0.46449,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,0.76283,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,0.62423,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,0.12792,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,7.03717,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,3.73934,,%,,,,,,,,UIS,,,,,,Total
Bangladesh,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2017,25.43216,,%,,,,,,,,UIS,,,,,,Total
Bangladesh,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2017,40.49489,,%,,,,,,,,UIS,,,,,,Total
Bangladesh,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2017,33.12739,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,3.74291,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,3.58638,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,3.66317,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2018,0.81306,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2018,1.28882,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,0.14013,,%,,,,,,,,UIS,,,,,,Total
Belgium,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,0.16931,,%,,,,,,,,UIS,,,,,,Total
Belgium,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,0.48752,,%,,,,,,,,UIS,,,,,,Total
Belgium,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,0.33254,,%,,,,,,,,UIS,,,,,,Total
Belize,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,16.0596,,%,,,,,,,,UIS,,,,,,Total
Belize,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,14.46601,,%,,,,,,,,UIS,,,,,,Total
Belize,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,15.2496,,%,,,,,,,,UIS,,,,,,Total
Benin,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,46.17726,,%,,,,,,,,UIS,,,,,,Total
Benin,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,38.07798,,%,,,,,,,,UIS,,,,,,Total
Benin,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,42.0731,,%,,,,,,,,UIS,,,,,,Total
Bhutan,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2018,5.84736,,%,,,,,,,,UIS,,,,,,Total
Bhutan,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2018,17.99222,,%,,,,,,,,UIS,,,,,,Total
Bhutan,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2018,12.01717,,%,,,,,,,,UIS,,,,,,Total
Bolivia (Plurinational State of),Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,11.46017,,%,,,,,,,,UIS,,,,,,Total
Bolivia (Plurinational State of),Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,11.71913,,%,,,,,,,,UIS,,,,,,Total
Bolivia (Plurinational State of),Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,11.59237,,%,,,,,,,,UIS,,,,,,Total
Bosnia and Herzegovina,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2018,7.07804,,%,,,,,,,,UIS,,,,,,Total
Bosnia and Herzegovina,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2018,5.31796,,%,,,,,,,,UIS,,,,,,Total
Bosnia and Herzegovina,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2018,6.18157,,%,,,,,,,,UIS,,,,,,Total
Botswana,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2017,9.26597,,%,,,,,,,,UIS,,,,,,Total
Botswana,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2017,10.61073,,%,,,,,,,,UIS,,,,,,Total
Botswana,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2017,9.94483,,%,,,,,,,,UIS,,,,,,Total
Brazil,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,1.21044,,%,,,,,,,,UIS,,,,,,Total
Brazil,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,3.43146,,%,,,,,,,,UIS,,,,,,Total
Brazil,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,2.35421,,%,,,,,,,,UIS,,,,,,Total
British Virgin Islands,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2015,4.82655,,%,,,,,,,,UIS,,,,,,Total
Brunei Darussalam,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,0.2562,,%,,,,,,,,UIS,,,,,,Total
Bulgaria,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,15.18407,,%,,,,,,,,UIS,,,,,,Total
Bulgaria,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,13.99865,,%,,,,,,,,UIS,,,,,,Total
Bulgaria,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,14.57411,,%,,,,,,,,UIS,,,,,,Total
Burkina Faso,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,44.10687,,%,,,,,,,,UIS,,,,,,Total
Burkina Faso,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,49.21367,,%,,,,,,,,UIS,,,,,,Total
Burkina Faso,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,46.70875,,%,,,,,,,,UIS,,,,,,Total
Burundi,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2021,26.31855,,%,,,,,,,,UIS,,,,,,Total
Burundi,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2021,32.98969,,%,,,,,,,,UIS,,,,,,Total
Burundi,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2021,29.66191,,%,,,,,,,,UIS,,,,,,Total
Cabo Verde,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2019,13.23869,,%,,,,,,,,UIS,,,,,,Total
Cabo Verde,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2019,11.79554,,%,,,,,,,,UIS,,,,,,Total
Cabo Verde,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2019,12.51439,,%,,,,,,,,UIS,,,,,,Total
Cambodia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Female,2020,12.10451,,%,,,,,,,,UIS,,,,,,Total
Cambodia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Male,2020,17.14824,,%,,,,,,,,UIS,,,,,,Total
Cambodia,Out-of-school rate for adolescents of lower secondary school age (administrative data),Total,2020,14.66981,,%,,,,,,,,UIS,,,,,,Total
