Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Albania,Out-of-school rate for children of primary school age (administrative data),Female,2020,1.93244,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for children of primary school age (administrative data),Male,2020,5.54032,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for children of primary school age (administrative data),Total,2020,3.84193,,%,,,,,,,,UIS,,,,,,Total
Algeria,Out-of-school rate for children of primary school age (administrative data),Total,2020,0.177,,%,,,,,,,,UIS,,,,,,Total
Anguilla,Out-of-school rate for children of primary school age (administrative data),Total,2019,0.77967,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for children of primary school age (administrative data),Female,2019,1.87461,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for children of primary school age (administrative data),Male,2019,1.58343,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for children of primary school age (administrative data),Total,2019,1.72715,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for children of primary school age (administrative data),Total,2019,0.42247,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for children of primary school age (administrative data),Female,2020,10.40104,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for children of primary school age (administrative data),Male,2020,10.54438,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for children of primary school age (administrative data),Total,2020,10.47731,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for children of primary school age (administrative data),Female,2020,1.51921,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for children of primary school age (administrative data),Male,2020,1.39621,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for children of primary school age (administrative data),Total,2020,1.45611,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for children of primary school age (administrative data),Female,2016,0.11877,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for children of primary school age (administrative data),Male,2016,0.28884,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for children of primary school age (administrative data),Total,2019,0.05623,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for children of primary school age (administrative data),Female,2020,8.60678,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for children of primary school age (administrative data),Male,2020,12.06504,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for children of primary school age (administrative data),Total,2020,10.46286,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for children of primary school age (administrative data),Female,2019,2.83481,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for children of primary school age (administrative data),Male,2019,1.86613,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for children of primary school age (administrative data),Total,2019,2.3445,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for children of primary school age (administrative data),Female,2020,3.34526,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for children of primary school age (administrative data),Male,2020,1.97899,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for children of primary school age (administrative data),Total,2020,2.65161,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for children of primary school age (administrative data),Female,2020,6.02934,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for children of primary school age (administrative data),Male,2020,4.50552,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for children of primary school age (administrative data),Total,2020,5.24426,,%,,,,,,,,UIS,,,,,,Total
