Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2018,68.68825,,%,,,,,,,,UIS,,,,,,Total
Afghanistan,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2018,43.78052,,%,,,,,,,,UIS,,,,,,Total
Afghanistan,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2018,55.89854,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,15.10066,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,21.92466,,%,,,,,,,,UIS,,,,,,Total
Albania,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,18.74204,,%,,,,,,,,UIS,,,,,,Total
Anguilla,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2019,4.33056,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2019,13.39031,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2019,12.00279,,%,,,,,,,,UIS,,,,,,Total
Antigua and Barbuda,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2019,12.68946,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2019,6.61321,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2019,14.56729,,%,,,,,,,,UIS,,,,,,Total
Argentina,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2019,10.65845,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,1.435,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,13.18625,,%,,,,,,,,UIS,,,,,,Total
Armenia,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,7.72412,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,5.5268,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,8.854,,%,,,,,,,,UIS,,,,,,Total
Australia,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,7.23036,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2019,8.99559,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2019,10.51243,,%,,,,,,,,UIS,,,,,,Total
Austria,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2019,9.77608,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,0.1708,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,0.12584,,%,,,,,,,,UIS,,,,,,Total
Azerbaijan,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,0.14683,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2019,6.34636,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2019,18.12214,,%,,,,,,,,UIS,,,,,,Total
Bahrain,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2019,12.71451,,%,,,,,,,,UIS,,,,,,Total
Bangladesh,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,33.4591,,%,,,,,,,,UIS,,,,,,Total
Bangladesh,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,40.16995,,%,,,,,,,,UIS,,,,,,Total
Bangladesh,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,36.89385,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,4.24077,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,7.9036,,%,,,,,,,,UIS,,,,,,Total
Barbados,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,6.12191,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2020,4.58753,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for youth of upper secondary school age (administrative data),Male,2020,7.7514,,%,,,,,,,,UIS,,,,,,Total
Belarus,Out-of-school rate for youth of upper secondary school age (administrative data),Total,2020,6.21312,,%,,,,,,,,UIS,,,,,,Total
Belgium,Out-of-school rate for youth of upper secondary school age (administrative data),Female,2019,1.96315,,%,,,,,,,,UIS,,,,,,Total
