Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source,Happiness_Rank,Country_Code,GDP_PerCapita,Region,Income_Group
Afghanistan,Completion rate for children of primary school age,Female,Primary,Total,Total,2015,40.200001,DHS 2015,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Completion rate for children of primary school age,Male,Primary,Total,Total,2015,67.199997,DHS 2015,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2015,14.36536,DHS 2015,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2015,32.315559,DHS 2015,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2015,25.63134,DHS 2015,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2015,49.296501,DHS 2015,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2018,68.68825,UIS,146.0,AFG,368.7546142,South Asia,Low income
Afghanistan,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2018,43.78052,UIS,146.0,AFG,368.7546142,South Asia,Low income
Angola,Completion rate for children of primary school age,Female,Primary,Total,Total,2016,56.63134,DHS 2015-16,,AGO,1953.533757,Sub-Saharan Africa,Lower middle income
Angola,Completion rate for children of primary school age,Male,Primary,Total,Total,2016,63.2789,DHS 2015-16,,AGO,1953.533757,Sub-Saharan Africa,Lower middle income
Angola,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2016,15.21019,DHS 2015-16,,AGO,1953.533757,Sub-Saharan Africa,Lower middle income
Angola,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2016,23.698139,DHS 2015-16,,AGO,1953.533757,Sub-Saharan Africa,Lower middle income
Angola,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2016,31.708269,DHS 2015-16,,AGO,1953.533757,Sub-Saharan Africa,Lower middle income
Angola,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2016,42.056301,DHS 2015-16,,AGO,1953.533757,Sub-Saharan Africa,Lower middle income
Albania,Completion rate for children of primary school age,Female,Primary,Total,Total,2018,95.698372,DHS 2017-18,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Completion rate for children of primary school age,Male,Primary,Total,Total,2018,94.15596,DHS 2017-18,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
