,Percentage,Happiness_Rank,GDP_PerCapita,Clusters,Cluster,Gender
1,67.199997,146,368.7546142,1,Low GDP PerCapita,Male
15,94.15596,90,6492.872012,0,Mid-High GDP PerCapita,Male
27,95.666924,57,10636.1202,0,Mid-High GDP PerCapita,Male
37,99.389252,82,4966.513471,3,Mid-Low GDP PerCapita,Male
61,51.01598,115,1319.154995,1,Low GDP PerCapita,Male
73,76.300003,94,2457.92488,1,Low GDP PerCapita,Male
83,99.199997,67,7143.310548,0,Mid-High GDP PerCapita,Male
95,99.864349,65,7302.257794,0,Mid-High GDP PerCapita,Male
119,91.487007,71,3345.196589,3,Mid-Low GDP PerCapita,Male
131,94.599998,38,7507.160971,0,Mid-High GDP PerCapita,Male
155,95.099998,142,6805.221274,0,Mid-High GDP PerCapita,Male
177,95.68824,44,16265.09598,2,High GDP PerCapita,Male
189,97.099998,72,12556.33312,2,High GDP PerCapita,Male
195,59.700001,88,2549.041297,1,Low GDP PerCapita,Male
207,74.991524,102,1666.932734,1,Low GDP PerCapita,Male
225,78.335167,99,2290.382891,1,Low GDP PerCapita,Male
233,91.400002,66,6104.136709,3,Mid-Low GDP PerCapita,Male
245,75.099998,116,1577.471027,1,Low GDP PerCapita,Male
257,97.715027,23,12472.44373,2,High GDP PerCapita,Male
281,88.013199,69,8476.752157,0,Mid-High GDP PerCapita,Male
293,93.074371,96,3690.627878,3,Mid-Low GDP PerCapita,Male
299,98,76,5965.132871,3,Mid-Low GDP PerCapita,Male
309,90.530273,129,3698.834981,3,Mid-Low GDP PerCapita,Male
319,47.053791,131,925.077428,1,Low GDP PerCapita,Male
331,65.894753,106,8635.325694,0,Mid-High GDP PerCapita,Male
343,99.904556,105,5023.27438,3,Mid-Low GDP PerCapita,Male
355,68.88044,111,2363.299296,1,Low GDP PerCapita,Male
367,51.783451,109,1189.175999,1,Low GDP PerCapita,Male
379,64.274437,93,772.1523951,1,Low GDP PerCapita,Male
397,79.97261,39,5025.542291,3,Mid-Low GDP PerCapita,Male
415,85.420349,55,2771.717461,1,Low GDP PerCapita,Male
433,95.697021,87,4332.709281,3,Mid-Low GDP PerCapita,Male
